number,rgb,name,description
L048,"[230, 110, 175]",Rose Purple,Good for emulating evening. Great backlight.
L797,"[175, 0, 150]",Deep Purple,Used in musical performances for general colour washes and set lighting.
L049,"[190, 0, 145]",Medium Purple,"A strong cheerful glow, good for cycloramas and pantomimes."
L126,"[190, 0, 155]",Mauve,Good for backlighting. Dark magenta / purple adds drama and mood.
L798,"[160, 0, 190]",Chrysalis Pink,A new deeper lavender with a dash of rose blusher.
L701,"[180, 90, 220]",Provence,Colour of the Lavender fields of the south of France. A redder version of 180 for cameras balanced to tungsten.
L345,"[205, 110, 215]",Fuchsia Pink,"Good for musicals, pantomimes and sultry scenes."
L703,"[210, 130, 220]",Cold Lavender,A colour that would be great for front / key lighting and that works well with 152 Pale Gold.
L052,"[230, 170, 250]",Light Lavender,Good for general areas and side lights. Great for a basic followspot colour as well as an excellent backlight.
L704,"[240, 170, 250]",Lily,A cool lavender with little red content. Good for romantic evening exteriors.
L170,"[230, 170, 220]",Deep Lavender,"Great for set lighting, discos and theatres."
L136,"[240, 190, 230]",Pale Lavender,Great for pantomimes and ballroom sets. Also enhances dark skin tones in follow spots.
L169,"[250, 220, 240]",Lilac Tint,A pale lavender. Good for almost white light with a cool tint.
L702,"[230, 210, 240]",Special Pale Lavender,"Cold lavender with a full tungsten source, but warms as the source is dimmed. Good as a fill for slow sunset fades."
L137,"[200, 180, 230]",Special Lavender,Good for moonlight and musical / romantic scenes. Enhances skin tones.
L194,"[190, 140, 240]",Surprise Pink,Good for musicals.
L058,"[180, 110, 240]",Lavender,An excellent backlight that creates a new dimension.
L180,"[160, 100, 230]",Dark Lavender,A pleasing effect for theatrical lighting and backlighting.
L343,"[140, 0, 210]",Special Medium Lavender,Good for theatre and T.V. effect lighting and backlighting.
L700,"[125, 0, 205]",Perfect Lavender,"In-between 170 Deep Lavender and 345 Fuchsia Pink, and is good for backlighting and romantic atmospheres."
L181,"[80, 0, 170]",Congo Blue,Looks like black light when used with a fluorescent source. Great effect colour. Very saturated.
L707,"[100, 0, 180]",Ultimate Violet,Used in musical performances for general colour washes and set lighting.
L706,"[110, 70, 200]",King Fals Lavender,A cold lavender.
L709,"[200, 200, 250]",Electric Lilac,"Provides good colour rendering which creates a sharp edge, adding a touch of drama."
L142,"[170, 170, 240]",Pale Violet,Great Moonlight effect. Good for cyclorama lighting and highlighting foliage on plants.
L199,"[100, 100, 230]",Regal Blue,A deep lavender blue that strongly enhances skin tones.
L508,"[90, 70, 195]",Midnight Maya,"A rich, sultry blue. Like Congo Blue, but greater light transmission so maintenance friendly - fewer gel changes."
L799,"[60, 0, 180]",Special KH Lavender,A deep lavender that brings out the UV.
L071,"[0, 0, 180]",Tokyo Blue,"A deep blue, used for midnight scenes and cyclorama lighting."
L713,"[0, 60, 160]",J.Winter Blue,Very dark blue with high UV content. Good in high concentrations for a moody and powerful stage colour wash.
L710,"[140, 160, 240]",Spir Special Blue,A cool industrial blue.
L198,"[100, 120, 200]",Palace Blue,Good for dark moonlight or a romantic evening.
L716,"[0, 100, 210]",Mikkel Blue,A romantic blue to produce a night effect.
L195,"[0, 110, 210]",Zenith Blue,Creates a good moonlight effect on a dark set. Also good for cycloramas.
L715,"[60, 110, 220]",Cabana Blue,A deep blue that still has enough transmission to work encouragingly well on television.
L723,"[80, 130, 220]",Virgin Blue,"This is a pure blue, not too green and not too lavender, yet still feels warm for a blue with an early morning feel."
L721,"[0, 130, 230]",Berry Blue,Used in musical performances for rear colour wash or set lighting.
L120,"[0, 95, 190]",Deep Blue,A pleasing effect for theatrical lighting.
L363,"[0, 110, 195]",Special Medium Blue,Great for cool moonlight and mood effects.
L085,"[0, 110, 185]",Deeper Blue,A deep warm blue. Good for back and side lighting.
L119,"[0, 120, 200]",Dark Blue,Good for mood effects created by backlighting and side lighting. Creates great contrast.
L722,"[0, 140, 210]",Bray Blue,A purer blue with very little red in it.
L079,"[60, 140, 210]",Just Blue,A good colour mixing blue. Great for cyclorama lighting.
L714,"[90, 145, 210]",Elysian Blue,A new deeper version of Alice Blue.
L075,"[100, 160, 240]",Evening Blue,Good for night scenes and romantic moonlight.
L525,"[142, 180, 250]",Argent Blue,"LSI's Silver Anniversary colour. Great for a foreboding cold winter's night, but useful for general illuminance too."
L197,"[130, 170, 230]",Alice Blue,Great for cyclorama lighting and creating deep blue skies cyclorama cycloramas.
L712,"[160, 190, 240]",Bedford Blue,A smoky warm blue. Good for skin tones.
L200,"[145, 190, 245]",Double CTB,Converts tungsten (3200K) to daylight (26000K) .
L719,"[155, 195, 240]",Colour Wash Blue,To allow low intensity tungsten to hold a cold/blue feel.
L711,"[170, 190, 220]",Cold Blue,Cold/grey HMI effect from a tungsten source. Will also help blend the light when using both tungsten and HMI sources.
L500,"[180, 210, 255]",Double New Colour Blue,The strongest of the NCB series for dramatic 'white' face and key light where warmer tones than CTB are required.
L501,"[215, 235, 250]",New Colour Blue (Robertson Blue),An alternative to the CTB series with warmer tones and a lesser green cast for face and key light.
L708,"[220, 235, 250]",Cool Lavender,For use as a warmer tint without turning yellow and to recreate the colour of fluorescent lighting.
L053,"[230, 230, 250]",Paler Lavender,A subtle cool wash.
L502,"[225, 240, 255]",Half New Colour Blue,A lighter correction in the NCB series.
L503,"[244, 250, 255]",Quarter New Colour Blue,The lightest correction in the NCB series.
L203,"[235, 252, 255]",Quarter CTB,Converts tungsten (3200K) to daylight (3600K).
L600,"[152, 168, 170]",Arctic White,"Bright, brilliant blue-grey light at 100%. It does not warm up as it dims and is not affected by amber drift."
L601,"[144, 160, 160]",Silver,"Silver-grey light at full power, dims through lavender grey then warm brown grey. Works well with 550 ALD Gold."
L061,"[220, 245, 255]",Mist Blue,A cool wash good for night scenes.
L063,"[210, 245, 255]",Pale Blue,"Cool front light wash, good for creating an overcast look for cold weather."
L202,"[215, 240, 255]",Half CTB,Converts tungsten (3200K) to daylight (4300K).
L281,"[205, 230, 250]",Three Quarter CTB,Converts tungsten to daylight.
L201,"[195, 225, 250]",Full CTB,Converts tungsten (3200K) to photographic daylight (5700K).
L283,"[175, 217, 245]",One and a Half CTB,Converts tungsten (3200K) to daylight (8888K).
L366,"[170, 210, 240]",Cornflower,Great for pale moonlight and seasonal mood lighting.
L174,"[175, 225, 250]",Dark Steel Blue,Great for set lighting. Creates good moonlight shadows.
L161,"[125, 210, 245]",Slate Blue,"A pure medium blue. Good for skies, moonlight and dusk effects."
L068,"[70, 180, 240]",Sky Blue,Good for morning skin tones and night skies. Great for cyclorama lights.
L132,"[0, 160, 220]",Medium Blue,Deep moonlight. Great for colour mixing.
L165,"[90, 200, 235]",Daylight Blue,Great for moonlight effect.
L352,"[90, 200, 225]",Glacier Blue,"A cold blue, good for cool atmospheric mood setting."
L143,"[100, 190, 210]",Pale Navy Blue,Great moonlight / night effect.
L196,"[120, 210, 230]",True Blue,Great for moonlight effect.
L727,"[0, 165, 180]",QFD Blue,A special version of 729 Scuba Blue which is good for backlighting and swimming pool effects.
L141,"[0, 210, 230]",Bright Blue,Very dramatic when used as moonlight.
L183,"[0, 215, 227]",Moonlight Blue,Good for moonlight effect and cycloramas.
